,Unnamed: 0,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,ID
625,648,Nick Richards,C,24,CHO,50,5,7.3,1.2,1.8,0.667,0.0,0.0,,1.2,1.8,0.667,0.667,0.6,0.9,0.698,0.7,1.0,1.7,0.3,0.2,0.4,0.5,1.0,3.0,0.0,4.9,5.4,-2.8,-0.2,15.2,0.3,0.478,-2.6,9.7,0.6,15.9,1.2,18.1,12.4,0.689,15.4,-0.1,1.0,0.125,,,/players/r/richani01.html
626,649,Josh Richardson,SG,28,TOT,65,7,24.6,3.6,8.2,0.438,1.6,3.8,0.415,2.0,4.4,0.458,0.534,1.5,1.7,0.889,0.6,2.2,2.8,1.8,0.9,0.4,1.0,1.8,10.2,0.461,10.1,1.6,0.1,0.7,9.4,2.0,0.202,-0.6,2.8,1.6,12.8,1.7,10.2,6.2,0.573,17.6,0.9,3.5,0.106,,,/players/r/richajo01.html
627,650,Josh Richardson,SG,28,BOS,44,0,24.7,3.5,7.8,0.443,1.4,3.5,0.397,2.0,4.3,0.481,0.534,1.4,1.6,0.859,0.6,2.3,2.8,1.5,0.8,0.5,0.9,1.9,9.7,0.455,8.7,1.9,0.3,1.2,9.6,1.5,0.207,-1.0,2.7,1.0,12.2,1.6,9.4,6.2,0.57,16.7,0.6,2.6,0.113,,,/players/r/richajo01.html
628,651,Josh Richardson,SG,28,SAS,21,7,24.4,3.9,9.1,0.429,1.9,4.3,0.444,2.0,4.8,0.416,0.534,1.7,1.8,0.946,0.8,2.1,2.9,2.3,1.0,0.3,1.3,1.6,11.4,0.471,13.0,1.0,-0.2,-0.3,9.1,0.4,0.194,0.1,3.2,0.5,14.0,2.1,11.5,6.1,0.577,19.3,0.2,1.0,0.091,,,/players/r/richajo01.html
629,652,Austin Rivers,SG,29,DEN,67,18,22.1,2.2,5.2,0.417,1.2,3.4,0.342,1.0,1.8,0.563,0.53,0.5,0.7,0.727,0.3,1.4,1.7,1.3,0.8,0.1,0.8,1.8,6.0,0.66,8.0,0.4,-3.8,-0.3,6.9,1.1,0.126,-3.5,1.5,0.1,7.2,1.7,12.8,4.3,0.546,12.6,-0.7,1.2,0.037,,,/players/r/riverau01.html
630,653,Duncan Robinson,SG,27,MIA,79,68,25.9,3.7,9.2,0.399,2.9,7.9,0.372,0.7,1.3,0.569,0.559,0.6,0.8,0.836,0.3,2.3,2.6,1.6,0.5,0.2,0.8,2.5,10.9,0.86,9.3,0.7,-0.6,-0.3,9.8,2.0,0.084,-0.3,1.4,1.9,10.6,1.0,7.4,5.6,0.573,17.7,0.7,3.9,0.092,"$18,154,000",MIA,/players/r/robindu01.html
631,654,Justin Robinson,PG,24,TOT,25,0,12.2,1.1,3.7,0.301,0.7,2.4,0.295,0.4,1.3,0.313,0.398,0.2,0.3,0.5,0.2,0.7,0.8,1.3,0.4,0.0,0.7,1.1,3.1,0.656,14.0,0.3,-7.6,-1.3,6.0,0.2,0.086,-6.4,1.4,-0.5,3.6,1.4,15.0,3.7,0.404,16.0,-0.4,-0.3,-0.055,,,
632,655,Justin Robinson,PG,24,MIL,17,0,11.6,1.1,3.4,0.316,0.6,2.2,0.27,0.5,1.2,0.4,0.404,0.1,0.1,1.0,0.1,0.6,0.8,1.2,0.5,0.0,0.6,1.0,2.8,0.649,13.7,0.0,-6.6,-0.3,5.8,0.1,0.035,-6.3,1.1,-0.3,4.3,1.9,16.0,3.5,0.415,14.8,-0.2,-0.1,-0.03,,,
633,656,Justin Robinson,PG,24,SAC,3,0,5.0,0.3,2.7,0.125,0.0,1.0,0.0,0.3,1.7,0.2,0.125,0.0,0.0,,0.0,0.3,0.3,0.7,0.0,0.0,0.3,0.7,0.7,0.375,17.3,0.0,-26.2,-7.7,7.3,0.0,0.0,-18.5,0.0,-0.1,-13.5,0.0,11.1,3.6,0.125,25.8,-0.1,-0.1,-0.459,,,
634,657,Justin Robinson,PG,24,DET,5,0,18.2,1.8,5.6,0.321,1.6,4.2,0.381,0.2,1.4,0.143,0.464,0.4,1.2,0.333,0.4,1.0,1.4,1.8,0.2,0.2,1.0,1.6,5.6,0.75,14.3,1.0,-6.9,-2.3,6.3,0.0,0.214,-4.7,2.3,-0.1,4.9,0.5,14.0,4.2,0.457,16.8,-0.1,-0.1,-0.041,,,
