,Name,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,CurrentSalary,CurrentTeam,PrevSal,NextSal,NameYear,PrevYear,NextYear
327,Justin Holiday,SF,32,IND,49,40,28.9,3.9,9.3,0.415,2.6,6.9,0.378,1.3,2.5,0.516,0.553,0.7,0.8,0.829,0.4,2.4,2.8,1.8,0.7,0.4,1.0,2.1,11.0,0.734,8.8,1.1,-1.7,-0.8,9.4,0.3,0.09,-0.8,1.4,1.0,10.3,1.2,9.3,5.3,0.568,15.9,0.1,1.4,0.047,,,"$6,006,420",$2019706,2022,2021,2023
328,Justin Holiday,SG,32,SAC,25,25,25.6,2.8,8.2,0.348,2.0,5.8,0.342,0.8,2.3,0.362,0.471,0.6,0.8,0.762,0.4,1.8,2.2,1.5,0.8,0.6,0.8,2.0,8.3,0.716,8.1,2.0,-3.4,-0.8,7.5,0.3,0.103,-2.6,1.8,-0.3,7.9,1.6,9.0,4.7,0.488,15.7,-0.2,0.0,0.004,,,"$6,006,420",$2019706,2022,2021,2023
329,Richaun Holmes,C,28,SAC,45,37,23.9,4.4,6.7,0.66,0.0,0.1,0.4,4.4,6.6,0.664,0.663,1.6,2.0,0.778,2.1,5.0,7.0,1.1,0.4,0.9,1.2,2.8,10.4,0.017,6.8,3.3,-0.5,-0.1,22.9,0.9,0.3,-0.4,9.3,2.4,17.8,0.8,14.2,16.1,0.689,15.8,0.4,3.2,0.145,"$12,046,020",DAL,"$10,384,500",$12046020,2022,2021,2023
330,Rodney Hood,PF-SF,29,TOT,52,0,13.6,1.1,3.0,0.369,0.6,1.8,0.33,0.5,1.3,0.424,0.465,0.3,0.4,0.895,0.3,1.2,1.5,0.7,0.3,0.1,0.2,0.6,3.1,0.58,6.9,0.8,-3.3,-0.3,9.1,0.5,0.121,-3.0,2.3,0.2,7.2,1.0,6.2,5.8,0.493,10.7,-0.2,0.7,0.048,,,"$2,239,544",,2022,2021,2023
331,Rodney Hood,PF,29,MIL,39,0,14.9,1.2,3.4,0.351,0.6,2.1,0.3,0.6,1.3,0.431,0.443,0.3,0.4,0.929,0.3,1.4,1.7,0.8,0.3,0.1,0.2,0.7,3.3,0.611,6.5,0.7,-3.5,-0.2,9.7,0.4,0.107,-3.2,2.4,0.1,6.7,1.0,4.9,6.1,0.47,10.6,-0.2,0.5,0.042,,,"$2,239,544",,2022,2021,2023
332,Rodney Hood,SF,29,LAC,13,0,9.8,0.9,2.0,0.462,0.5,0.8,0.545,0.5,1.2,0.4,0.577,0.3,0.4,0.8,0.2,0.6,0.8,0.6,0.2,0.2,0.3,0.3,2.6,0.423,8.5,1.3,-2.4,-0.5,6.4,0.1,0.192,-1.8,1.7,0.1,9.3,1.1,12.4,4.1,0.603,11.1,0.0,0.2,0.075,,,"$2,239,544",,2022,2021,2023
333,Scotty Hopson,SG,32,OKC,1,0,18.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,0.5,0.0,0.0,,0.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,4.0,0.25,8.1,0.0,-11.6,-2.9,5.8,0.0,0.0,-8.7,0.0,-0.1,0.1,0.0,33.3,2.9,0.5,14.4,0.0,0.0,-0.132,,,,,2022,2021,2023
334,Al Horford,C,35,BOS,69,69,29.1,3.9,8.2,0.467,1.3,3.8,0.336,2.6,4.4,0.582,0.546,1.2,1.4,0.842,1.6,6.1,7.7,3.4,0.7,1.3,0.9,1.9,10.2,0.466,16.4,4.2,4.3,2.9,22.2,3.8,0.167,1.4,6.0,3.7,16.7,1.2,9.6,14.3,0.574,14.8,3.2,7.6,0.181,"$10,000,000",BOS,"$27,000,000",$10000000,2022,2021,2023
335,Talen Horton-Tucker,SG,21,LAL,60,19,25.2,3.7,9.0,0.416,0.8,3.0,0.269,2.9,5.9,0.492,0.462,1.7,2.1,0.8,0.6,2.6,3.2,2.7,1.0,0.5,1.4,2.5,10.0,0.338,14.9,1.7,-3.3,-0.2,11.1,1.2,0.232,-3.2,2.6,-0.2,11.0,1.9,12.1,6.9,0.503,19.2,-0.5,1.1,0.033,"$11,020,000",UTA,"$9,500,000",$11020000,2022,2021,2023
336,Danuel House Jr.,SF,28,TOT,42,7,17.3,1.9,4.7,0.404,1.0,2.8,0.376,0.9,1.9,0.444,0.515,1.0,1.4,0.759,0.4,2.2,2.6,1.0,0.5,0.4,0.8,1.2,5.9,0.591,8.4,2.1,-1.1,0.2,13.8,0.7,0.293,-1.3,2.8,0.4,10.6,1.4,12.9,8.4,0.555,15.2,0.2,1.0,0.068,,,"$657,596",$4310250,2022,2021,2023
337,Danuel House Jr.,SF,28,HOU,16,1,14.6,1.6,4.6,0.338,0.6,2.1,0.294,0.9,2.5,0.375,0.405,1.1,1.2,0.895,0.3,2.4,2.7,1.2,0.3,0.3,1.1,1.0,4.8,0.459,11.5,1.9,-5.6,-0.7,18.5,0.1,0.257,-4.8,1.9,-0.3,6.8,1.0,17.9,10.1,0.467,18.3,-0.2,-0.2,-0.049,,,"$657,596",$4310250,2022,2021,2023
338,Danuel House Jr.,SF,28,NYK,1,0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-20.4,-7.8,0.0,0.0,0.0,-12.6,0.0,0.0,-13.4,0.0,0.0,0.0,0.0,14.6,0.0,0.0,-0.342,,,"$657,596",$4310250,2022,2021,2023
