NameYear,2023,PrevYear,Name,Pos,Type,OTm,PrevStats,NTm,ID,Weight,Height,Age,Tm,G,GS,MP,FG%,3P,3P%,3PA,FT,FT%,FTA,ORB,TRB,AST,STL,BLK,TOV,PTS,USG%,TS%,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,PrevSal,NextSal,Unnamed: 0,TeamOrTot,FG,FGA,2P,2PA,2P%,eFG%,DRB,PF,3PAr,AST%,BLK%,DRB%,FTr,ORB%,STL%,TOV%,TRB%,Salary,Team,PrevSalClean,NextSalClean,PrevSalNorm,NextSalNorm
Killian_Tillie_2020,,2020.0,Killian Tillie,F,RFA,MEM,"3.2 Pts, 1.3 Reb, 0.4 Ast",MEM,/players/t/tilliki02.html,220.0,6-9,22.0,MEM,18.0,1,10.1,0.333,0.6,0.303,1.8,0.5,0.818,0.6,0.3,1.3,0.4,0.3,0.4,0.1,3.2,14.8,0.461,8.5,0.0,0.2,0.2,0.055,-3.4,-0.3,-3.7,-0.1,< $Minimum,"$2,000,000",,,,,,,,,,,,,,,,,,,,,,0.0,2.0,0.0,2.0
Rayjon_Tucker_2020,,2020.0,Rayjon Tucker,F,UFA,PHI,"2.4 Pts, 0.8 Reb, 0.4 Ast",PHI,/players/t/tuckera01.html,209.0,6-3,23.0,PHI,14.0,0.0,4.9,0.5,0.1,0.286,0.5,1.0,0.737,1.4,0.1,0.8,0.4,0.1,0.0,0.3,2.4,19.2,0.645,15.1,0.1,0.1,0.2,0.166,-3.0,-0.4,-3.4,0.0,"$340,000< $Minimum","$28,779",,,,,,,,,,,,,,,,,,,,,,0.34,0.028779,0.35019937694704056,0.028779
Gabe_Vincent_2020,,2020.0,Gabe Vincent,G,RFA,MIA,"4.8 Pts, 1.1 Reb, 1.3 Ast",MIA,/players/v/vincega01.html,200.0,6-3,24.0,MIA,50.0,7,13.1,0.378,0.9,0.309,3.0,0.4,0.87,0.5,0.2,1.1,1.3,0.4,0.0,0.7,4.8,19.1,0.498,7.6,-0.4,0.5,0.2,0.011,-4.5,-0.9,-5.4,-0.6,< $Minimum,"$1,669,178",,,,,,,,,,,,,,,,,,,,,,0.0,1.669178,0.0,1.669178
Devin_Cannady_2020,,2020.0,Devin Cannady,G,UFA,ORL,"4.3 Pts, 0.6 Reb, 0.1 Ast",ORL,/players/c/cannade01.html,183.0,6-2,24.0,ORL,8.0,0,9.3,0.393,0.8,0.375,2.0,0.8,0.857,0.9,0.0,0.6,0.1,0.6,0.1,0.3,4.3,19.3,0.547,11.2,0.0,0.1,0.1,0.057,-4.0,1.0,-3.1,0.0,"$61,528< $Minimum","$100,000",,,,,,,,,,,,,,,,,,,,,,0.061528,0.1,0.06337372724940443,0.1
Gary_Clark_2020,,2020.0,Gary Clark,F,UFA,PHI,"3.1 Pts, 2.9 Reb, 0.8 Ast",NOP,/players/c/clarkga01.html,225.0,6-6,26.0,TOT,39.0,11.0,16.8,0.303,0.8,0.287,2.8,0.2,0.8,0.3,0.8,2.9,0.8,0.3,0.2,0.4,3.1,10.1,0.436,6.0,-0.3,0.4,0.1,0.008,-4.2,-0.7,-4.9,-0.5,"$2,000,000< $Minimum","$377,645",,,,,,,,,,,,,,,,,,,,,,2.0,0.377645,2.0599963349825914,0.377645
Spencer_Dinwiddie_2020,,2020.0,Spencer Dinwiddie,G,UFA,BRK,"6.7 Pts, 4.3 Reb, 3.0 Ast",WAS,/players/d/dinwisp01.html,215.0,6-5,27.0,BRK,3.0,3.0,21.3,0.375,0.7,0.286,2.3,2.0,1.0,2.0,0.0,4.3,3.0,0.7,0.3,1.7,6.7,16.1,0.536,10.1,0.0,0.1,0.1,0.045,-2.4,2.6,0.2,0.0,"$11,454,048","$17,142,857",,,,,,,,,,,,,,,,,,,,,,11.454048,17.142857,11.79764845035734,17.142857
Isaac_Bonga_2020,,2020.0,Isaac Bonga,G,RFA,WAS,"2.0 Pts, 1.7 Reb, 0.6 Ast",TOR,/players/b/bongais01.html,180.0,6-8,21.0,WAS,40.0,8.0,10.8,0.37,0.3,0.277,1.2,0.1,0.625,0.2,0.5,1.7,0.6,0.3,0.2,0.6,2.0,10.2,0.461,4.0,-0.4,0.4,0.0,-0.001,-5.8,0.0,-5.8,-0.4,"$1,663,861","$1,729,217",,,,,,,,,,,,,,,,,,,,,,1.663861,1.729217,1.7137737809602345,1.729217
Marquese_Chriss_2020,,2020.0,Marquese Chriss,F,UFA,POR,"6.5 Pts, 6.5 Reb, 1.0 Ast",DAL,/players/c/chrisma01.html,240.0,6-9,23.0,GSW,2.0,0.0,13.5,0.357,0.5,0.2,2.5,1.0,0.5,2.0,1.5,6.5,1.0,0.0,1.0,1.0,6.5,28.1,0.412,11.8,-0.1,0.1,0.0,-0.03,-2.4,0.3,-2.1,0.0,"$1,824,003","$958,529",,,,,,,,,,,,,,,,,,,,,,1.824003,0.958529,1.8787197474986257,0.958529
Udonis_Haslem_2020,,2020.0,Udonis Haslem,F-C,UFA,MIA,"4.0 Pts, 1.0 Reb, 0.0 Ast",MIA,/players/h/hasleud01.html,235.0,6-8,40.0,MIA,1.0,0,3.0,1.000,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,30.1,1.0,54.6,0.0,0.0,0.0,0.475,24.1,7.0,31.1,0.0,"$2,564,753","$2,641,691",,,,,,,,,,,,,,,,,,,,,,2.564753,2.641691,2.6416908900678027,2.641691
Avery_Bradley_2020,,2020.0,Avery Bradley,G,UFA,HOU,"6.4 Pts, 2.1 Reb, 1.7 Ast",GSW,/players/b/bradlav01.html,180.0,6-3,30.0,TOT,27.0,6.0,22.3,0.374,1.2,0.327,3.7,0.4,0.8,0.6,0.3,2.1,1.7,0.8,0.1,1.0,6.4,14.9,0.487,6.3,-0.5,0.4,-0.1,-0.008,-4.9,-0.5,-5.4,-0.5,"$5,635,000","$2,641,691",,,,,,,,,,,,,,,,,,,,,,5.635,2.641691,5.804039673813451,2.641691
Didi_Louzada_2020,,2020.0,Didi Louzada,G,RFA,NOP,"2.7 Pts, 1.0 Reb, 1.0 Ast",NOP,/players/l/louzama01.html,188.0,6-5,21.0,NOP,3.0,0.0,18.7,0.231,0.7,0.25,2.7,0.0,,0.0,0.3,1.0,1.0,0.7,0.0,1.0,2.7,12.0,0.308,-0.9,-0.1,0.0,-0.1,-0.099,-7.8,-1.8,-9.6,-0.1,"$123,056","$1,786,878",,,,,,,,,,,,,,,,,,,,,,0.123056,1.786878,0.12674745449880886,1.786878
Tyrell_Terry_2020,,2020.0,Tyrell Terry,G,UFA,DAL,"1.0 Pts, 0.5 Reb, 0.5 Ast",MEM,/players/t/terryty01.html,160.0,6-2,20.0,DAL,11.0,0.0,5.1,0.313,0.0,0.0,0.6,0.1,0.333,0.3,0.0,0.5,0.5,0.5,0.0,0.2,1.0,15.3,0.318,6.0,-0.1,0.1,-0.1,-0.049,-7.5,2.6,-5.0,0.0,"$1,289,846","$1,517,981",,,,,,,,,,,,,,,,,,,,,,1.289846,1.517981,1.3285390163459776,1.517981
Rodney_Hood_2020,,2020.0,Rodney Hood,G-F,UFA,TOR,"4.5 Pts, 1.9 Reb, 1.0 Ast",MIL,/players/h/hoodro01.html,208.0,6-8,28.0,TOT,55.0,5.0,17.1,0.362,0.6,0.301,2.1,0.4,0.857,0.5,0.4,1.9,1.0,0.4,0.1,0.7,4.5,14.1,0.452,5.6,-0.7,0.3,-0.4,-0.019,-4.9,-1.4,-6.4,-1.0,"$10,047,450","$2,239,544",,,,,,,,,,,,,,,,,,,,,,10.04745,2.239544,10.348855087960418,2.239544
Justise_Winslow_2020,,2020.0,Justise Winslow,F,UFA,MEM,"6.8 Pts, 4.5 Reb, 1.9 Ast",LAC,/players/w/winslju01.html,222.0,6-6,24.0,MEM,26.0,1.0,19.5,0.352,0.4,0.185,2.1,0.8,0.571,1.3,0.7,4.5,1.9,0.6,0.5,1.4,6.8,21.9,0.395,6.2,-1.3,0.6,-0.7,-0.066,-6.2,0.2,-6.0,-0.5,"$13,000,000","$3,902,439",,,,,,,,,,,,,,,,,,,,,,13.0,3.902439,13.389976177386844,3.902439
